ID#	1
Name	Methane
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
79	A-1935_1042023_1732_078.gcd	Unknown	0	6.003	6702653	501776	761.812	-----	37.236	31.341	-----	-----
80	A-1828_1042023_1732_079.gcd	Unknown	0	6.002	6813987	510949	774.466	-----	31.273	25.910	-----	-----
81	A-1714_1042023_1732_080.gcd	Unknown	0	6.002	7565692	566136	859.904	-----	66.076	59.678	-----	-----
82	A-1934_1042023_1732_081.gcd	Unknown	0	6.001	8604751	645993	978.001	-----	54.261	47.274	-----	-----
83	A-1692_1042023_1732_082.gcd	Unknown	0	6.002	7392138	553964	840.178	-----	73.669	67.872	-----	-----
84	A-1933_1042023_1732_083.gcd	Unknown	0	6.003	4185822	315041	475.753	-----	36.148	30.307	-----	-----
85	A-1711_1042023_1732_084.gcd	Unknown	0	6.003	4158952	313472	472.699	-----	51.389	44.619	-----	-----
86	A-1693_1042023_1732_085.gcd	Unknown	0	6.003	4081656	307258	463.914	-----	54.409	47.669	-----	-----
87	A-1937_1042023_1732_086.gcd	Unknown	0	6.000	9765054	728853	1109.879	-----	76.734	71.286	-----	-----
88	A-1713_1042023_1732_087.gcd	Unknown	0	6.001	8189379	611789	930.791	-----	56.883	50.127	-----	-----
89	A-1765_1042023_1732_088.gcd	Unknown	0	6.002	6050839	454377	687.728	-----	54.605	47.813	-----	-----
	Average			6.001	7535605	561367	856.484		69.678	65.526	0.0	
	%RSD			0.025271	131.989563	129.945452	131.989568		36.024670	40.307354	0.000000	
	Maximum			6.003	68734425	5027272	7812.238		99.330	99.152	0.0	
	Minimum			5.992	807461	61015	91.775		2.299	1.814	0.0	
	Std. Dev.			0.001517	9946212.365741	729471.107580	1130.469562		25.101373	26.411952	0.000000	

