ID#	1											
Name	Methane											
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
130	A-1015_7272023_1212_129.gcd	Unknown	0	3.199	1108714	109920	151.124	-----	26.598	32.432	-----	-----
131	A-1147_7272023_1212_130.gcd	Unknown	0	3.2	33634	3221	4.584	-----	0.632	0.811	-----	-----
132	A-1148_7272023_1212_131.gcd	Unknown	0	3.199	548382	53934	74.747	-----	6.896	8.95	-----	-----
133	A-1149_7272023_1212_132.gcd	Unknown	0	3.199	171737	16749	23.409	-----	4.022	5.187	-----	-----
134	A-1141_7272023_1212_133.gcd	Unknown	0	3.198	21543211	2094775	2936.454	-----	91.966	93.696	-----	-----
135	A-1142_7272023_1212_134.gcd	Unknown	0	3.198	39507565	3829063	5385.092	-----	89.615	91.818	-----	-----
136	A-1143_7272023_1212_135.gcd	Unknown	0	3.199	1298057	128824	176.932	-----	21.246	26.417	-----	-----
137	A-1144_7272023_1212_136.gcd	Unknown	0	3.198	496962	49011	67.739	-----	18.844	23.41	-----	-----
138	A-1145_7272023_1212_137.gcd	Unknown	0	3.197	74117797	7125714	10102.65	-----	68.986	74.597	-----	-----
139	A-1146_7272023_1212_138.gcd	Unknown	0	3.197	78612079	7568268	10715.245	-----	69.276	74.871	-----	-----
140	50$50$0 CO2$CH4$NO2_7272023_1212_139.gcd	Unknown	0	3.2	353836	34544	48.23	-----	33.36	39.696	-----	-----
	Average			3.2	4247727	413185	578.988		29.596	33.824	0	
	%RSD			0.034476	260.071728	257.901226	260.071721		82.510531	76.633482	0	
	Maximum			3.204	78612079	7568268	10715.245		91.966	93.696	0	
	Minimum			3.197	7512	695	1.024		0.429	0.54	0	
	Std. Dev.			0.001103	11047137.15	1065608.079	1505.783581		24.420093	25.92027	0	
												
ID#	2											
Name	Carbon Dioxide											
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
1	ghg2.90.gcd	Standard(Calc.Point)	1	-----	-----	-----	-----	-----	-----	-----	-----	*
2	zero air_7272023_1212_001.gcd	Unknown	0	-----	-----	-----	-----	-----	-----	-----	-----	-----
3	zero air_7272023_1212_002.gcd	Unknown	0	6	716713	53917	81.46	-----	98.105	97.631	-----	-----
4	0$0$0.1 CO2$CH4$N2O_7272023_1212_003.gcd	Unknown	0	5.997	999331	75210	113.582	-----	99.107	98.899	-----	-----
5	0$0$0.25 CO2$CH4$N2O_7272023_1212_004.gcd	Unknown	0	5.998	1177955	88631	133.884	-----	98.707	98.371	-----	-----
6	0$0$0.5 CO2$CH4$N2O_7272023_1212_005.gcd	Unknown	0	5.996	725632	54301	82.474	-----	98.975	98.737	-----	-----
7	100$100$0 CO2$CH4$N2O_7272023_1212_006.gcd	Unknown	0	5.998	1443798	108799	164.1	-----	65.211	58.795	-----	-----
